카테고리,세부분야,항목,설명,우선순위,도구/기술,참고사항
아키텍처,프로젝트 구조,관심사 분리,라우터-컨트롤러-서비스-모델 계층 분리,높음,MVC 패턴,코드 유지보수성 향상
아키텍처,프로젝트 구조,모듈화,재사용 가능한 컴포넌트 설계,높음,ES6 Modules,확장성 고려
아키텍처,프로젝트 구조,확장성,새로운 기능 추가가 쉬운 구조,높음,Clean Architecture,미래 요구사항 대비
아키텍처,API 설계,RESTful API,일관된 URL 패턴,높음,REST,GET/POST/PUT/DELETE
아키텍처,API 설계,GraphQL,복잡한 데이터 관계 처리,중간,Apollo Server,REST 대안
아키텍처,API 설계,API 버저닝,버전별 API 관리,중간,URL Path,하위 호환성
보안,인증/인가,JWT 토큰,상태 비저장 인증,높음,jsonwebtoken,확장성 좋음
보안,인증/인가,OAuth 2.0,소셜 로그인,중간,Passport.js,사용자 편의성
보안,인증/인가,RBAC,역할 기반 접근 제어,높음,Custom,권한 관리
보안,보안 강화,비밀번호 해싱,안전한 비밀번호 저장,높음,bcrypt/argon2,평문 저장 금지
보안,보안 강화,HTTPS,SSL/TLS 인증서,높음,Let's Encrypt,데이터 암호화
보안,보안 강화,Rate Limiting,API 호출 제한,중간,express-rate-limit,DDoS 방지
보안,보안 강화,CORS,교차 출처 리소스 공유,높음,cors,브라우저 보안
보안,보안 강화,SQL Injection 방지,파라미터화된 쿼리,높음,Parameterized Query,DB 보안
보안,보안 강화,XSS/CSRF 방지,보안 헤더 설정,높음,helmet.js,웹 보안
데이터베이스,데이터 모델링,ERD 설계,테이블 관계 정의,높음,draw.io/Lucidchart,설계 단계
데이터베이스,데이터 모델링,정규화,데이터 중복 최소화,높음,Database Design,성능 향상
데이터베이스,데이터 모델링,인덱싱,쿼리 성능 최적화,중간,PostgreSQL Index,조회 속도
데이터베이스,데이터 모델링,마이그레이션,스키마 변경 관리,중간,Sequelize/TypeORM,버전 관리
데이터베이스,성능 최적화,Connection Pooling,데이터베이스 연결 관리,높음,pg-pool,리소스 효율
데이터베이스,성능 최적화,쿼리 최적화,N+1 문제 방지,중간,ORM Eager Loading,성능 향상
데이터베이스,성능 최적화,캐싱,데이터 캐시 처리,중간,Redis/Memcached,응답 속도
데이터베이스,성능 최적화,Read Replica,읽기 전용 복제본,낮음,PostgreSQL Replica,확장성
에러처리,로깅 시스템,구조화된 로그,JSON 형태 로그,높음,Winston/Pino,분석 용이
에러처리,로깅 시스템,로그 레벨,ERROR/WARN/INFO/DEBUG,높음,Log Levels,디버깅 효율
에러처리,로깅 시스템,로그 수집,중앙 로그 관리,중간,ELK Stack,모니터링
에러처리,로깅 시스템,성능 모니터링,응답시간/메모리 추적,중간,APM Tools,성능 분석
에러처리,에러 관리,예외 처리,try-catch/async-await,높음,Error Handling,안정성
에러처리,에러 관리,사용자 정의 에러,의미있는 에러 메시지,높음,Custom Error Class,사용자 경험
에러처리,에러 관리,전역 에러 핸들러,일관된 에러 응답,높음,Express Error Middleware,통일성
테스트,테스트 전략,단위 테스트,개별 함수/메서드 테스트,높음,Jest,품질 보장
테스트,테스트 전략,통합 테스트,API 엔드포인트 테스트,높음,Supertest,실제 동작 확인
테스트,테스트 전략,E2E 테스트,전체 워크플로우 테스트,중간,Cypress/Playwright,사용자 시나리오
테스트,테스트 전략,테스트 커버리지,코드 커버리지 측정,중간,Istanbul,품질 지표
테스트,테스트 도구,Jest,JavaScript 테스트 프레임워크,높음,Jest,표준 도구
테스트,테스트 도구,Mock/Stub,의존성 격리,중간,Jest Mock,독립적 테스트
성능,성능 최적화,압축,gzip/brotli 압축,중간,compression,전송 속도
성능,성능 최적화,CDN,정적 파일 배포,낮음,CloudFlare/AWS CloudFront,글로벌 배포
성능,성능 최적화,이미지 최적화,WebP/리사이징,낮음,Sharp,용량 최적화
성능,성능 최적화,HTTP/2,멀티플렉싱,낮음,HTTP/2,프로토콜 개선
성능,확장성,로드 밸런싱,여러 서버 인스턴스,낮음,Nginx/HAProxy,트래픽 분산
성능,확장성,마이크로서비스,기능별 서비스 분리,낮음,Docker/K8s,복잡도 증가
성능,확장성,컨테이너화,Docker/Kubernetes,낮음,Docker,배포 일관성
성능,확장성,오토 스케일링,트래픽 자동 확장,낮음,AWS Auto Scaling,비용 효율
배포,배포 전략,CI/CD,자동 빌드/테스트/배포,중간,GitHub Actions,자동화
배포,배포 전략,환경 분리,dev/staging/production,높음,Environment Variables,안정성
배포,배포 전략,블루-그린 배포,무중단 배포,낮음,Blue-Green Deploy,서비스 연속성
배포,배포 전략,롤백 전략,문제시 이전 버전 복구,중간,Version Control,안정성
배포,모니터링,헬스체크,서버 상태 확인,높음,Health Check API,장애 감지
배포,모니터링,메트릭 수집,CPU/메모리/디스크 모니터링,중간,Prometheus,성능 추적
배포,모니터링,알림,임계값 초과시 알림,중간,Slack/Email,즉시 대응
배포,모니터링,APM,애플리케이션 성능 모니터링,중간,New Relic/DataDog,성능 분석
개발환경,개발 도구,TypeScript,타입 안정성,높음,TypeScript,런타임 에러 방지
개발환경,개발 도구,ESLint/Prettier,코드 품질 관리,높음,ESLint/Prettier,일관된 코드 스타일
개발환경,개발 도구,Husky,Git hook 관리,중간,Husky,커밋 전 검증
개발환경,개발 도구,환경변수,설정 관리,높음,dotenv,보안 설정
개발환경,문서화,API 문서,Swagger/OpenAPI,중간,Swagger,API 사용법
개발환경,문서화,README,설치/실행 가이드,높음,Markdown,프로젝트 이해
개발환경,문서화,코드 주석,JSDoc,낮음,JSDoc,코드 이해
개발환경,문서화,아키텍처 문서,시스템 설계 문서,낮음,Markdown/Confluence,시스템 이해
비즈니스,요구사항,기능 명세서,상세한 요구사항 정의,높음,문서 작성,개발 방향
비즈니스,요구사항,사용자 스토리,사용자 관점의 기능 설명,높음,Agile,사용자 중심
비즈니스,요구사항,비즈니스 규칙,도메인 로직 정의,높음,Domain Modeling,핵심 로직
비즈니스,데이터 플로우,입력 검증,데이터 유효성 검사,높음,Joi/Yup,데이터 무결성
비즈니스,데이터 플로우,비즈니스 로직,핵심 기능 구현,높음,Service Layer,비즈니스 가치
비즈니스,데이터 플로우,출력 포맷,일관된 응답 형태,높음,Response DTO,사용자 경험 